# Published MP3 selections from the approved Sector Drift II release.
# Preserve revision queries: they bypass cached pre-upload 404s.
# slug	URL
black-glass	https://assets.crashthestack.com/soundtrack/preview-ii-tagged/black-glass.mp3
cold-boot	https://assets.crashthestack.com/soundtrack/cold-boot-album-ii/cold-boot.mp3?v=b268d1999e4a
relay-ghost	https://assets.crashthestack.com/soundtrack/relay-album-ii/relay-ghost.mp3
closed-loop	https://assets.crashthestack.com/soundtrack/closed-loop-album-ii/closed-loop.mp3?v=262faf69d6da
shadow-protocol	https://assets.crashthestack.com/soundtrack/preview-ii-tagged/shadow-protocol.mp3
blind-spot	https://assets.crashthestack.com/soundtrack/preview-ii-tagged/blind-spot.mp3
quiet-array	https://assets.crashthestack.com/soundtrack/preview-ii-tagged/quiet-array.mp3
sector-drift	https://assets.crashthestack.com/soundtrack/sector-album-ii/sector-drift.mp3?v=ad4bc933e503
dirty-cache	https://assets.crashthestack.com/soundtrack/dirty-cache-album-ii/dirty-cache.mp3?v=1f987de66cee
basement-circuit	https://assets.crashthestack.com/soundtrack/basement-album-ii/basement-circuit.mp3?v=45cf2f8c79ea
dead-sector	https://assets.crashthestack.com/soundtrack/preview-ii-tagged/dead-sector.mp3
obsidian-index	https://assets.crashthestack.com/soundtrack/obsidian-album-ii/obsidian-index.mp3
breach-vector	https://assets.crashthestack.com/soundtrack/breach-album-ii/breach-vector.mp3
clock-edge	https://assets.crashthestack.com/soundtrack/preview-ii-tagged/clock-edge.mp3
glass-current	https://assets.crashthestack.com/soundtrack/glass-album-ii/glass-current.mp3?v=a155e2bdf119
